Distance (m),Elevation (m),Latitude,Longitude
0,10.38989543914795,-27.49728,153.01900999999998
446.5517277091482,10.82764339447021,-27.49463715747024,153.01588275239828
893.1034554182964,13.02972507476807,-27.49466469630156,153.01130983634482
1339.6551831274446,9.00675106048584,-27.49397075425617,153.00679110372653
1786.206910836593,11.82650089263916,-27.49449506037102,153.0022829670702
2232.758638545741,19.17504692077637,-27.49346989087699,152.997996532338
2679.3103662548892,10.18051528930664,-27.49167404697786,152.99403613933498
3125.8620939640377,13.97004222869873,-27.48773260236488,152.99290121564195
3572.413821673186,14.61376571655273,-27.48424715863942,152.99468928585475
4018.965549382334,3.269042015075684,-27.481354995749,152.99786070103744
4465.517277091482,6.496493339538574,-27.47819189395396,153.00074401926827
4912.069004800631,7.402894020080566,-27.47502873276521,153.0036271719307
5358.6207325097785,14.48400115966797,-27.47199580362904,153.00666784066243
5805.172460218927,8.148012161254883,-27.46921968478648,153.01001922793375
6251.7241879280755,13.45918750762939,-27.46538170046263,153.01078253015828
6698.275915637223,17.78536605834961,-27.4613619649489,153.011486639616
7144.827643346372,40.04388427734375,-27.4579865270887,153.0136277847414
7591.37937105552,26.6084041595459,-27.45717488480526,153.0180017674976
8037.931098764668,25.03505706787109,-27.45602724014819,153.02231139751507
8484.482826473817,17.58720397949219,-27.45268122593688,153.02468178905508
8931.034554182965,18.05908393859863,-27.450656418053,153.02865776252133
9377.586281892112,10.882887840271,-27.44722494598982,153.03111176087987
9824.138009601262,4.95761775970459,-27.44319490287588,153.03140809186584
10270.68973731041,14.19297218322754,-27.43913007443822,153.03158810630214
10717.241465019557,15.93091011047363,-27.43506614907716,153.03179312896714
11163.793192728706,19.32599830627441,-27.43101018341395,153.03207946830003
11610.344920437854,29.68563842773438,-27.42700425109568,153.03287701466877
12056.896648147002,29.98154067993164,-27.42299831423887,153.03367450316455
12503.448375856151,26.97212219238281,-27.4191376627677,153.03511182807313
12950.000103565299,15.52757549285889,-27.41529856370633,153.03586365426906
13396.551831274446,20.46640777587891,-27.41165653342576,153.03382630005603
13843.103558983596,20.62111473083496,-27.40788644737161,153.03219771840486
14289.655286692743,26.88584327697754,-27.40383434813016,153.03179300439524
14736.20701440189,28.1221923828125,-27.39977945454435,153.03145358510403
15182.75874211104,19.92871856689453,-27.39571158465359,153.03141737110536
15629.310469820188,30.92030715942383,-27.39164371475346,153.0313811597715
16075.862197529335,29.13043785095215,-27.38761168680612,153.03086514460256
16522.413925238485,27.53107261657715,-27.38359562335018,153.03013541940834
16968.965652947634,23.27831077575684,-27.37962277261837,153.02916345691176
17415.51738065678,33.64447021484375,-27.3764384429693,153.0266142548844
17862.06910836593,35.85737991333008,-27.37368222995614,153.0232449776953
18308.62083607508,38.18640899658203,-27.37069389167626,153.0201384906337
18755.172563784225,31.50786209106445,-27.3676064529966,153.01727417824202
19201.724291493374,28.4669246673584,-27.36354260531252,153.01706802217086
19648.276019202523,23,-27.35949519116297,153.01660783577393
20094.82774691167,22.77734375,-27.35546416989794,153.0160599167167
20541.37947462082,29.95064163208008,-27.3515950116737,153.01464549845787
20987.931202329968,36.34770965576172,-27.34772583920148,153.01323117901165
21434.482930039114,25.75509262084961,-27.34385665248464,153.0118169583552
21881.034657748263,20,-27.3398830472762,153.01087834918485
22327.586385457413,20.17009353637695,-27.3358754711602,153.01020741374214
22774.13811316656,17.02327156066895,-27.33188676002519,153.0111071070362
