Distance (m),Elevation (m)
0,10.38989543914795
591.5093804118011,15.4428129196167
1183.0187608236022,8.520052909851074
1774.5281412354034,11.97664451599121
2366.0375216472044,17.20680999755859
2957.5469020590053,14.35265445709229
3549.0562824708068,11.49062824249268
4140.565662882607,5.451665878295898
4732.075043294409,7.282590866088867
5323.58442370621,19.01313400268555
5915.093804118011,11.37367057800293
6506.603184529812,14.81269550323486
7098.1125649416135,43.11555862426758
7689.621945353414,24.26524925231934
8281.131325765215,16.26748847961426
8872.640706177017,17.00849533081055
9464.150086588817,5
10055.659467000618,14.05182933807373
10647.16884741242,9.843108177185059
11238.67822782422,24.92014312744141
11830.187608236021,31.69140243530273
12421.696988647824,26.43149566650391
13013.206369059624,17.16034889221191
13604.715749471425,21.18464469909668
14196.225129883227,24.47317886352539
14787.734510295028,20.17475128173828
15379.243890706828,30.15013694763184
15970.753271118629,26.49340057373047
16562.26265153043,28.4002628326416
17153.772031942233,34.3475456237793
17745.281412354034,41.77255630493164
18336.790792765834,34.85117721557617
18928.300173177635,28.01298713684082
19519.809553589435,21.84864044189453
20111.318934001236,23.59824752807617
20702.828314413036,36.67276763916016
21294.33769482484,22.56664085388184
21885.84707523664,19.85187149047852
22477.35645564844,17.5638542175293
23068.865836060242,13.70990562438965
23660.375216472043,16.50325965881348
24251.884596883843,11.05774116516113
24843.393977295647,9.124164581298828
25434.903357707448,9.320169448852539
26026.41273811925,5.834368228912354
26617.92211853105,5.250402927398682
27209.43149894285,3.061707735061646
27800.94087935465,7.213994979858398
28392.450259766454,7.233570098876953
28983.959640178255,8.95792007446289
29575.469020590055,16.85073852539062
30166.978401001856,24.16568756103516
30758.487781413656,33.11406707763672
31349.997161825457,21.23683166503906
31941.506542237257,11.39339256286621
32533.01592264906,19.41821098327637
33124.52530306086,26.50607299804688
33716.03468347266,31.1264705657959
34307.54406388447,36.97733306884766
34899.05344429627,38.93458938598633
35490.56282470807,29.22946548461914
36082.07220511987,22.26126861572266
36673.58158553167,29.95366096496582
37265.09096594347,35.76128005981445
37856.60034635527,31.32226753234863
38448.10972676707,29.64759826660156
39039.61910717887,24.63178253173828
39631.12848759067,36.35529327392578
40222.63786800247,27.65193176269531
40814.14724841427,18.7603588104248
41405.65662882607,19.53326416015625
41997.16600923788,11.49716949462891
42588.67538964968,13.45532321929932
43180.18477006148,11.20477104187012
43771.69415047328,10.78844165802002
44363.20353088508,17.35560417175293
44954.71291129688,19.02033042907715
45546.222291708684,20.84735679626465
46137.731672120484,11.13546562194824
46729.241052532285,11.28184795379639
47320.750432944085,17.42236518859863
47912.259813355886,17.88343620300293
48503.76919376769,11.46773910522461
49095.27857417949,17.42731475830078
49686.787954591295,9.944323539733887
50278.297335003095,8.957510948181152
50869.806715414896,9.480643272399902
51461.316095826696,10.35720062255859
52052.8254762385,11.57794570922852
52644.3348566503,10.60036182403564
53235.8442370621,10.57902050018311
53827.3536174739,8
54418.8629978857,16.07448196411133
55010.3723782975,19.22627067565918
55601.8817587093,37.14303588867188
56193.3911391211,34.17732620239258
56784.90051953291,39.24399185180664
57376.40989994471,28.31738662719727
57967.91928035651,28.52094650268555
58559.42866076831,22.35427856445312
59150.93804118011,29.53756523132324
59742.44742159191,25.20131874084473
60333.95680200371,19.05249977111816
60925.46618241551,19.5305004119873
61516.97556282731,28
62108.48494323911,35.83045959472656
62699.99432365091,23.46723175048828
63291.503704062714,25.8630428314209
63883.013084474514,20.71633720397949
64474.52246488632,21.85492897033691
65066.03184529812,27.82500457763672
65657.54122570992,19.06694793701172
66249.05060612172,16.53692245483398
66840.55998653352,15.47134494781494
67432.06936694532,14.63795852661133
68023.57874735713,23.48251533508301
68615.08812776893,37.79998016357422
69206.59750818073,25.21869468688965
69798.10688859253,18.81047630310059
70389.61626900433,18.23588371276855
70981.12564941614,17.11013031005859
71572.63502982793,25.08362007141113
72164.14441023974,16.01097679138184
72755.65379065153,18.56000518798828
73347.16317106334,16.70943641662598
73938.67255147513,12.96484661102295
74530.18193188694,12.54770374298096
75121.69131229873,12.33644676208496
75713.20069271054,11.00988006591797
76304.71007312235,14.25345897674561
76896.21945353414,13.43417549133301
77487.72883394595,19.54914855957031
78079.23821435774,15.90763187408447
78670.74759476955,15.34054660797119
79262.25697518134,18.47179412841797
79853.76635559315,22.9527702331543
80445.27573600494,28.8954963684082
81036.78511641675,23.21410942077637
81628.29449682854,17.72505569458008
82219.80387724035,14.85440063476562
